Scene,Vehicle Pair,Time Interval,Interaction Type,Q_i_Over_Time,Multi-Vehicle Group,E_Veh
waymo_train/scene_112,531;534,1.2-7.9,Car-follow,,,"531:0.1787,534:0.3977"
waymo_train/scene_112,531;537,0.2-8.6,Car-follow,,,"531:0.1787,537:0.1253"
waymo_train/scene_112,531;ego,1.3-7.7,Car-follow,,,"531:0.1787,ego:0.8436"
waymo_train/scene_112,534;536,0.7-8.3,Car-follow,,,"534:0.3977,536:0.4248"
waymo_train/scene_112,534;537,1.0-8.4,Car-follow,,,"534:0.3977,537:0.1253"
waymo_train/scene_112,534;540,1.3-7.6,Car-follow,,,"534:0.3977,540:0.0562"
waymo_train/scene_112,534;542,1.1-8.0,Car-follow,,,"534:0.3977,542:0.1813"
waymo_train/scene_112,534;ego,0.0-8.7,Car-follow,,,"534:0.3977,ego:0.8436"
waymo_train/scene_112,532;537,0.7-8.4,Car-follow,,,"532:0.4874,537:0.1253"
waymo_train/scene_112,535;537,2.5-7.6,Car-follow,,,"535:0.3076,537:0.1253"
waymo_train/scene_112,536;537,4.2-7.7,Car-follow,,,"536:0.4248,537:0.1253"
waymo_train/scene_112,537;ego,0.9-8.2,Car-follow,,,"537:0.1253,ego:0.8436"
waymo_train/scene_112,532;ego,0.2-8.8,Car-follow,,,"532:0.4874,ego:0.8436"
waymo_train/scene_112,535;ego,0.6-8.4,Car-follow,,,"535:0.3076,ego:0.8436"
waymo_train/scene_112,536;ego,0.7-8.7,Car-follow,,,"536:0.4248,ego:0.8436"
waymo_train/scene_112,540;ego,1.2-7.9,Car-follow,,,"540:0.0562,ego:0.8436"
waymo_train/scene_112,541;ego,1.4-6.0,Car-follow,,,"541:0.0784,ego:0.8436"
waymo_train/scene_112,542;ego,1.0-7.9,Car-follow,,,"542:0.1813,ego:0.8436"
waymo_train/scene_112,532;535,0.8-8.2,Car-follow,,,"532:0.4874,535:0.3076"
waymo_train/scene_112,532;542,1.2-5.9,Car-follow,,,"532:0.4874,542:0.1813"
waymo_train/scene_112,535;541,0.8-8.1,Car-follow,,,"535:0.3076,541:0.0784"
waymo_train/scene_112,535;542,0.3-5.0,Car-follow,,,"535:0.3076,542:0.1813"
waymo_train/scene_112,536;542,0.2-8.7,Car-follow,,,"536:0.4248,542:0.1813"
waymo_train/scene_112,540;542,0.2-8.5,Car-follow,,,"540:0.0562,542:0.1813"
waymo_train/scene_112,541;542,0.4-3.9,Car-follow,,,"541:0.0784,542:0.1813"
waymo_train/scene_112,542;545,0.8-5.4,Car-follow,,,"542:0.1813,545:0.2202"
waymo_train/scene_112,542;558,6.8-8.4,Car-follow,,,"542:0.1813,558:0.1109"
waymo_train/scene_112,536;540,0.5-8.2,Car-follow,,,"536:0.4248,540:0.0562"
waymo_train/scene_112,536;545,1.1-5.8,Car-follow,,,"536:0.4248,545:0.2202"
waymo_train/scene_112,536;558,7.2-8.0,Car-follow,,,"536:0.4248,558:0.1109"
waymo_train/scene_112,540;545,0.5-5.1,Car-follow,,,"540:0.0562,545:0.2202"
waymo_train/scene_112,540;558,6.4-8.9,Car-follow,,,"540:0.0562,558:0.1109"
waymo_train/scene_112,551;553,1.1-2.5,Car-follow,,,"551:0.2875,553:0.0120"
